r,light_pl_475,light_pl_814,light_pl_160,light_comp_475,light_comp_814,light_comp_160
0.19,0.4116106361539983,0.8560040955805643,18.4916939698383,0.4146171668551217,0.8548903511675997,18.821092849164128
0.2,0.3952420683696781,0.8210540933197215,17.91368642367692,0.3980137078711152,0.8200478128037264,18.227666538725277
0.21,0.37981029801914834,0.7881526322423825,17.35645079157151,0.3823628858822215,0.7872346409633669,17.650373891962673
0.22,0.36522961182703245,0.757127514223465,16.818634035933474,0.3675743756634315,0.7562871066521686,17.089315626204048
0.23,0.35144004901605386,0.7278481690757689,16.298904629145664,0.35358713071406195,0.727077452834842,16.544516397096487
0.24,0.3383905807585226,0.7002011893048279,15.79598931478877,0.340349901466011,0.6994926722785677,16.015961430716374
0.25,0.3260298028301561,0.6740709558835905,15.308687034879538,0.32781062101558656,0.6734176051088293,15.50359824446846
0.26,0.31430942832582254,0.6493453969324978,14.835871628549482,0.31592027889479046,0.6487407524099058,15.007351131893184
0.27,0.3031876714014785,0.6259211483865715,14.376581867608097,0.3046365933236254,0.6253600581962994,14.527107476251938
0.28,0.2926271586129312,0.6037016509493848,13.93039866374182,0.2939218726090284,0.603180443669649,14.062626852901309
0.29,0.2825920004977701,0.5825925482430366,13.497284348483218,0.2837399255998048,0.5821087344611635,13.613596273285902
0.3,0.2730492376699599,0.5625080012263363,13.0772258887887,0.27405760468323104,0.5620598926745718,13.179731939066382
0.31,0.2639708151171556,0.5433806688078979,12.670253068044248,0.2648469149529205,0.5429668538011094,12.760776049868978
0.32,0.25533190486090085,0.525154226158347,12.276432076761871,0.2560832446798699,0.5247733611168918,12.356500164241647
0.33,0.24710839498660891,0.5077723331621886,11.895867067677617,0.24774270010849583,0.5074231951207796,11.966705593942933
0.34,0.23927696595830436,0.49118217779156365,11.528701279166397,0.2398020738948128,0.4908636871030225,11.59122530993328
0.35000000000000003,0.23181495153999584,0.4753407578691757,11.175103503805763,0.23223843863254218,0.4750519027403573,11.229918234391066
0.36,0.224700433745299,0.46021300728114917,10.835027273981037,0.2250293674354831,0.4599526986284863,10.88255245781644
0.37,0.21791218920172312,0.44576496006076605,10.508121922659608,0.21815317668893838,0.445531930997921,10.548758972467414
0.38,0.2114302361105706,0.4319648101994411,10.194009883409185,0.21158949857219914,0.43175752444092164,10.228164704607645
0.39,0.2052375928448952,0.418783513076105,9.892297065884975,0.20532116545098966,0.4186001746364824,9.920397606990337
0.4,0.19931985118850046,0.40619379727842525,9.602574253070301,0.19933372731409138,0.40603243755893165,9.625087344147357
0.41000000000000003,0.19366286423264578,0.3941685315937692,9.324416074386502,0.19361297664485472,0.39402704688361245,9.341864815717875
0.42,0.18825292921082046,0.3826809069492754,9.057381234045296,0.18814512314969267,0.3825571038076629,9.070361848754347
0.43,0.1830772166602135,0.37170461270192123,8.801011738576149,0.1829171721829532,0.3715962788072604,8.810211369151938
0.44,0.17812388195879778,0.3612139864691254,8.554869922016065,0.17791704538807226,0.36111894331221966,8.561029567611723
0.45,0.1733813883633155,0.3511838542206395,8.3185897391465,0.17313297627013877,0.35109994982462917,8.322395720391249
0.46,0.1688386150117505,0.3415896404239186,8.09182086615499,0.16855362125434123,0.34151475206872284,8.093884274246095
0.47000000000000003,0.16448524538544113,0.3324081645688417,7.874217038732158,0.16416843447875368,0.33234023540519786,7.875071301400505
0.48,0.16031185970386289,0.3236179032349365,7.665436894638403,0.15996774473115064,0.3235549904500232,7.665534509134025
0.49,0.1563092597817428,0.3151977348618232,7.465144009787327,0.15594209970892906,0.3151380105159192,7.46485352838418
0.5,0.1524684651038839,0.3071270424710664,7.273007037140868,0.1520822579582934,0.3070687931960242,7.272610317117414
0.51,0.1487810863195803,0.29938692095800806,7.088699785918806,0.1483795743487969,0.29932853226761613,7.088388917714423
0.52,0.1452396480797323,0.2919610004325237,6.911899743969724,0.14482634430409225,0.29190092647654464,6.911785554616443
0.53,0.14183694377995779,0.28483345389931625,6.7422813004751605,0.14141514597035998,0.28477020534433295,6.742439077740119
0.54,0.13856601889413409,0.2779889442428398,6.579516155417496,0.13813882532214597,0.27792107696271806,6.5800037916698395
0.55,0.1354203827856472,0.27141328605795867,6.423275018700199,0.13499070994142817,0.2713393926606611,6.424136310754692
0.56,0.13239417921754712,0.2650940252852966,6.273227897472946,0.13196477064235715,0.26501273417057836,6.274496141642533
0.5700000000000001,0.1294816949113655,0.25901908723183553,6.129044432904538,0.12905511548429527,0.2589290624384612,6.1307457339142735
0.58,0.12667730489052764,0.2531766434275633,5.990394273562658,0.12625593357537865,0.253076583593767,5.992550664844198
0.59,0.12397563368545732,0.24755535918448274,5.856947647411718,0.12356166036172107,0.24744400853307533,5.859579936766767
0.6,0.12137182707146442,0.24214470619380746,5.728381349886956,0.12096726135490439,0.2420208866308747,5.7315107203124045
0.61,0.11886123266144268,0.23693443003617823,5.604441045057059,0.11846791141215156,0.2367970501474979,5.60807912623997
0.62,0.11643933115156387,0.23191444446340767,5.484914290336922,0.11605892533083305,0.23176250436735757,5.489056349570709
0.63,0.11410182203922328,0.22707524730747075,5.369593769448134,0.11373584475387608,0.22690782665479375,5.374218034485397
0.64,0.11184477314677031,0.22240873393407942,5.258275668802394,0.11149458534870402,0.2222249414712046,5.26334315022283
0.65,0.10966438660157128,0.21790730218780568,5.150760026757218,0.10933119673944171,0.21770625711969568,5.1562145246890845
0.66,0.1075569281826536,0.21356355627836293,5.046850189097897,0.1072417914332776,0.21334438129605268,5.052618560426471
0.67,0.1055188354058251,0.20937031329208597,4.946353498122803,0.10522266493315198,0.20913214903351302,4.952346360257581
0.68,0.10354701795366898,0.2053205920925736,4.849080507254064,0.10327062988143082,0.20506266652488167,4.855192706480061
0.6900000000000001,0.10163858389586512,0.20140753060371144,4.754871594904593,0.10138271395308666,0.20112918190834947,4.760994530897246
0.7000000000000001,0.09979069602675335,0.19762435896612876,4.663596015471524,0.09955599954925382,0.19732503638777116,4.669628485581023
0.71,0.09800058990239946,0.19396461398254017,4.575130831414939,0.09778763732511704,0.19364386052515498,4.580979557015995
0.72,0.09626566747056849,0.19042283686512532,4.489357480376284,0.09607493386896067,0.1900802078630835,4.494935625156523
0.73,0.09458345376391292,0.1869940508889233,4.406163030558409,0.09441532087032976,0.18662907960231317,4.411388819548836
0.74,0.09295156036101383,0.1836733913086647,4.325440109739007,0.09280632620008629,0.18328558586932875,4.330235121741219
0.75,0.0913677047245557,0.18045609338707055,4.247087791506386,0.09124559031827077,0.1800449580883327,4.251374922848271
0.76,0.08982974123611623,0.17733737112500397,4.171010230760898,0.08973087042920314,0.17690254309825146,4.174711836017386
0.77,0.08833559662564916,0.1743124742096164,4.097130116344973,0.08825998290469836,0.17385378841341131,4.100163175451317
0.78,0.08688322166860055,0.17137673346280458,4.025391936339883,0.0868307674244534,0.17089421591370937,4.0276638101036175
0.79,0.08547065976421961,0.1685257734919104,3.955745191353241,0.08544116674737638,0.16801961245655034,3.957154172116788
0.8,0.08409657805452538,0.16575683157977547,3.888138049673873,0.08408985044689565,0.16522719311353293,3.888575463663621
0.81,0.08276006885052711,0.16306815793603502,3.8225182303018927,0.08277598200903713,0.16251507289719297,3.8218704810004698
0.8200000000000001,0.08146025206530219,0.16045801385002517,3.7588325778489575,0.08149875255210477,0.15988138305005475,3.7569833152170977
0.8300000000000001,0.08019624607016647,0.15792458595610218,3.6970267413868005,0.08025734520725257,0.1573241942067697,3.6938593215764874
0.84,0.0789667592716622,0.15546489669733787,3.6370458148971028,0.0790504376661784,0.15484054212176818,3.6324451871045156
0.85,0.07777016443659601,0.15307508004516124,3.578829674998533,0.07787629345066871,0.15242667393779272,3.5726879852289053
0.86,0.07660485772913483,0.15075135533783018,3.5223079367507872,0.07673319998472827,0.1500789189985674,3.5145337321597476
0.87,0.07546927242998286,0.14849005679640978,3.4674068248315293,0.07561948527893757,0.14779371631026145,3.4579282148249035
0.88,0.07436209594601349,0.14628818504069327,3.414054821328909,0.07453378029061328,0.14556812168774422,3.4028180387317852
0.89,0.07328227480148611,0.14414338718997383,3.3621819213766133,0.07347502515832531,0.14339978926361746,3.34915047165156
